abakus;kulram
omforma;förvandla
omforma;förändra
omforma;ombilda
omforma;omvandla
omfång;utsträckning
omfång;vidd
omfångsrik;vittomfattande
omfångsrika;vida
omge;omringa
omge;omsluta
omgivande;kringliggande
omgivning;grannskap
omgivning;miljö
omgivning;nejd
omgivning;närhet
omgivning;närmiljö
omgivning;omnejd
omgivning;trakt
omgående;bums
omgående;genast
omgående;ofördröjligen
omgående;omedelbar
omgående;omedelbart
omgående;prompt
omgående;på direkten
omgående;på momangen
omgående;på stubinen
omgående;på studs
omgående;snabbt
omgående;snarast
omgående;tvärt
omgående;ögonaböj
omgående;ögonblickligen
omgång;parti
omgång;rond
omgång;runda
omgärda;inhägna
omgärda;kringgärda
omgärdande;omkringliggande
omigen;återigen
omild;hård
omintetgöra;förstöra
omisskännlig;uppenbar
omkastning;ändring
omklädningsrum;loge
omkomma;avlida
omkomma;förolyckas
omkomma;stupa
omkommen;död
omkring;cirka
omkring;nästan
omkring;runt
omkring;ungefär
omkringliggande;omgärdande
omlokalisera;förflytta
omlokalisering;flyttning
omläggning;omdaning
omnejd;omgivning
omnejd;trakt
omnibuss;buss
omnämna;nämna
omnämna;omtala
omnämnd;refererad
omodern;gammaldags
omodern;gammalmodig
omodern;ute
omogen;barnslig
omonterad;i delar
omorganisera;omskapa
omotiverad;håglös
omplacering;flytta
omringa;omge
område;area
område;block
område;distrikt
område;domän
område;gebit
område;kvarter
område;landbit
område;mark
område;nejd
område;plats
område;platts
område;provins
område;region
område;revir
område;sektion
område;sektor
område;territorium
område;trakt
område;yta
område;zon
omröstning;votering
omsider;med tiden
omsider;småningom
omskapa;förvandla
omskapa;förändra
omskapa;ombilda
omskapa;omdana
omskapa;omorganisera
omslag;fodral
omslag;förband
omsluta;famna
omsluta;kapsla
omsluta;omge
omslutande kapsling;hylsa
omsorg;omtanke
omsorg;omtänksamhet
omsorg;omvårdnad
omsorg;skötsel
omsorg;varsamhet
omsorgsfull;noggrann
omstridd;disputerad
omstridd;kontroversiell
omställning;förändring
omställning;konvertering
omställning;skifte
omställning;ändring
omständig;besvärlig
omständig;tjorvig
omständighet;faktor
omständighet;förhållande
omstörtning;revolution
omsvep;undanflykt
omtagning;repetition
omtala;förtälja
omtala;omnämna
omtalad;känd
omtalad;ryktbar
omtalad;välkänd
omtanke;bry sig
omtanke;hänsyn
omtanke;hänsynsfullhet
omtanke;omsorg
omtanke;omtänksamhet
omtugga;idissla
omtumlad;skakad
omtumlad;snurrig
omtvistad;kontroversiell
omtyckt;populär
omtyckt;uppskattad
omtyckt;älskad
omtänksam;hänsynsfull
omtänksam;snäll
omtänksam;vän
omtänksamhet;omsorg
omtänksamhet;omtanke
omutbar;obeveklig
omutbar;omutlig
omutlig;hederlig
omutlig;kompromisslös
omutlig;obeveklig
omutlig;omutbar
omvandla;förändra
omvandla;konvertera
omvandla;omforma
omvandling;förvandling
omvandling;förändring
omvandling;konversion
omvandling;konvertering
omvandling;skiftning
omvandling;transformation
omvandling;transformera
omvandling;ändring
omvälvning;revolution
omvänd;invers
omvänd;motsatt
omvända;konvertera
omvändbar;reversibel
omvårdnad;omsorg
omvårdnad;sjukvård
omvårdnad;skötsel
omvårdnad;vård
omväxla;byta
omväxla;skifta
omväxlande;alternerande
omväxlande;ombytlig
omväxlande;skiftande
omväxlande;varierande
omväxling;byte
omväxling;förändring
omväxling;ombyte
omväxling;variation
omöjlig;hopplös
omöjlig;ogenomförbar
omöjlig;ogörlig
omöjliggöra;hindra
omänsklig;barbarisk
omänsklig;grym
omänsklig;inhuman
omänskligt grym;djävulsk
omärkt;omarkerad
omätlig;oändlig
omätlig;ändlös
omätt;hungrig
onaturlig;abnorm
onaturlig;artificiell
onaturlig;konstgjord
onaturlig;tillgjord
ond;elak
ond;illasinnad
ond;illvillig
ond;ondskefull
ond;stygg
ond;vred
ond;vredgad
ondsint;djävulsk
ondsint;elak
ondsint;gemen
ondsint;grym
ondsint;illasinnad
ondsint;illvillig
ondsint;ondskefull
ondsint;stygg
ondska;elakhet
ondska;illvilja
ondskefull;djävulsk
ondskefull;elak
ondskefull;grym
ondskefull;illvillig
ondskefull;ond
ondskefull;ondsint
onekligen;bevisligen
onekligen;förvisso
onekligen;säkerligen
onomatopoetisk;ljudhärmande
onormal;abnorm
onormal;avvikande
onormalt;konstigt
ont;smärta
ont;värk
onykter;alkoholpåverkad
onykter;berusad
onykter;full
onyttig;ohälsosam
onödig;obehövlig
onödig;överflödig
onödiga frågor;dumhet
onödigtvis;i onödan
oomkullrunkelig;obestridlig
oomkullrunkelig;orubblig
oomkullrunkelig;stadigvarande
oomtvistlig;odiskutabel
oomtvistlig;säker
oordentlig;misskötsam
oordentlig;ovårdad
oordentlig;slarvig
oordentlig;vårdslös
oordnad;osorterad
oordnad;stökig
oordning;kaos
oordning;oreda
oordning;röra
oordning;stök
oordning;stökighet
oordning;tumult
oordning;villervalla
oordning;virrvarr
oordningsmått;entropi
opartisk;objektiv
opartisk;ofärgad
opartisk;träta
opartiskhet;neutralitet
opartiskhet;objektivitet
opassande;inadekvat
opassande;olämplig
opassande;olämpligt
operation;ingrepp
operation;process
operativ;aktiv
operativ;arbetande
operativsystem;OS
operatör;driftföretag
opinion;mening
opinion;åsikt
opolerad;kantig
opp;upp
opponera;motsäga
opportunitet;möjlighet
opposition;motsats
opposition;motstånd
opposition;motsättning
oproblematisk;enkel
oproblematisk;okomplicerad
optimism;positiv
optimist;positiv
optimistisk;hoppfull
optimistisk;positiv
option;förköpsrätt
option;val
opus;verk
opålitlig;lömsk
opålitlig;svekfull
opålitlig;trolös
opåverkad;oberörd
orakad;skäggig
oral;muntlig
oralsex;avsugning
oralsex;suga
oralt;muntligt
orange;brandgul
orange;brandröd
orange;rödgul
ord;glosa
ord;glosor
ordagrann;bokstavlig
ordblindhet;dyslexi
ordbok;Lexikon
ordbok;lexikon
ordbok;ordlexikon
ordbok;ordlista
ordbyte;diskussion
ordentlig;bastant
ordentlig;disciplinerad
ordentlig;grundlig
ordentlig;noga
ordentlig;noggrann
ordentlig;ordningsam
ordentlig;prydlig
ordentlig;redig
ordentlig;rejäl
ordentlig;skötsam
ordentlig;städad
ordentlig;välskött
ordentlig;väluppfostrad
ordentlig;vårdad
ordentligt;redigt
order;befalla
order;befallande
order;befallning
order;beställning
order;direktiv
order;kommando
order;kommendera
order;uppdrag
ordföljder;meningar
ordförande;ledare
ordförråd;vokabulär
ordinarie;reguljär
ordination;föreskrift
ordinera;föreskriva
ordinär;normal
ordinär;standard
ordinär;vanlig
ordinär;vardaglig
ordkarg;tystlåten
ordlexikon;ordbok
ordlista;ordbok
ordna;administrera
ordna;arrangera
ordna;bestyra
ordna;fixa
ordna;greja
ordna;gruppera
ordna;indela
ordna;inrätta
ordna;klassificera
ordna;ombesörja
ordna;organisera
ordna;ranka
ordna;reda
ordna;sortera
ordna;strukturera
ordna;system
ordna;systematisera
ordna;åtgärda
ordnad;prydlig
ordnande;arrangerande
ordning;disciplin
ordning;reda
ordning;stadga
ordning;struktur
ordningsam;ordentlig
ordningsam;prydlig
ordningsam;skötsam
ordningsam;städad
ordningsföljd;gradering
ordningsföljd;serie
ordningsföljd;succession
ordval;formulering
ordväxling;diskussion
oreda;oordning
oreda;röra
oreda;stök
oreda;stökigt
oreda;trassel
oreda;tumult
oreda;villervalla
oreda;virrvarr
oregelbunden;ojämn
oregerlig;besvärlig
oregerlig;bångstyrig
oregerlig;okontrollerbar
oregerlig;sjövild
oregerlig;vild
oren;smutsig
orenhet;dynga
orenhet;lort
orenhet;skit
orenhet;snusk
orenlighet;smuts
orera;tala
oreserverad;förbehållslös
oreserverad;oförbehållsam
oresonlig;hårdnackad
oresonlig;omedgörlig
organisatör;arrangör
organisera;anordna
organisera;arrangera
organisera;ordna
organisera;planera
organisera;strukturera
organisk överföring;transplantation
orgasm;klimax
original;kuf
original;ursprunglig
original;äkta
originell;egen
originell;unik
origo;medelpunkt
oriktig;fel
oriktig;felaktig
oriktig;inkorrekt
oriktig;osann
orimlig;absurd
orimlig;befängd
orimlig;oskälig
ork;energi
ork;kraft
ork;styrka
ork;uthållighet
orka;idas
orka;palla
orkan;tornado
orkar;gitter
orkar;ids
orkar;tyar
orkeslös;kraftlös
orkeslös;matt
orkeslös;trött
orkester;musikkår
orma;slingra
ormlik;slingrande
ormlik;överkörd reptil
ornamental;utsirad
orne;galt
ornitolog;fågelskådare
oro;bävan
oro;farhåga
oro;fundersamt
oro;grubbel
oro;nervositet
oro;nervspänning
oro;ängslan
oro;ängslas
oro;ångest
oroa;bekymra
oroa;betrycka
oroa;gruva
oroa;ängsla
oroa;ängslas
oroa sig;ängslas
oroad;bekymra
oroad;bekymrad
oroad;orolig
oroad;uppjagad
oroad;uppskakad
oroande;bekymmersam
oroande;oroväckande
oroas;ängslas
orolig;bekymmersam
orolig;bekymrad
orolig;nervös
orolig;oroad
orolig;ängslig
orolig;änslig
orolighet;tumult
orosmoln;farhåga
oroväckande;alarmerande
oroväckande;oroande
orsak;anledning
orsak;skäl
orsaka;framkalla
orsaka;föranleda
orsaka;förorsaka
orsaka;vålla
orsaka smärta;bedröva
orsakas;bero
orsakssamband;kausalitet
ort;by
ort;ställe
ort;trakt
orter;städer
ortogonal;vinkelrät
orubbad;oförändrad
orubbad;orörd
orubblig;bestämd
orubblig;envis
orubblig;fast
orubblig;hårdnackad
orubblig;obeveklig
orubblig;oomkullrunkelig
orubblig;orörlig
orubblig;stabil
orubblig;stadig
orubblig;ståndaktig
orutinerad;oerfaren
orutinerad;ovan
orutinerad;oövad
orädd;djärv
orädd;kavat
orädd;modig
orädd;oförskräckt
orädd;vågad
oräddhet;djärvhet
oräknelig;otalig
orörd;jungfrulig
orörd;oanvänd
orörd;orubbad
orörlig;fixerad
orörlig;lam
orörlig;orubblig
orörlig;statisk
orörlig;stel
orörlig;stilla
orörlig;stillastående
orörlighet;stillhet
orätt;fel
orätt;felaktig
orättvis;ojust
os;operativsystem
os;rök
osa;ryka
osa;stinka
osann;falsk
osann;felaktig
osann;oriktig
osanning;lögn
osanning;vals
osanning;villolära
osannolik;otrolig
oscillation;svängning
osedd;obemärkt
osedvanlig;ovanlig
osis;otur
osjälviskhet;altruism
osjälvständighet;beroende
oskadad;hel
oskadad;intakt
oskadd;hel
oskadd;helskinnad
oskadliggöra;desarmera
oskarp;oklar
oskarp;otydlig
oskattbar;värdefull
oskicklighet;inkompetens
oskolad;outbildad
oskriven regel;norm
oskuld;jungfru
oskuld;obetäckt
oskuldsfull;kysk
oskuldsfull;naiv
oskyddad;försvarslös
oskyddad;värnlös
oskälig;hutlös
oskälig;orimlig
oskön;obekväm
oslagbar;överlägsen
oslagen;obesegrad
osmaklig;vedervärdig
osmaklig;äcklig
osmakligt utseende;ful
osmal;tjock
osnabb;senfärdig
osnygg;ful
osofistikerad;simpel
osorterad;oordnad
ost;öst
ost;öster
ostabil;instabil
ostabil;labil
ostadig;darrande
ostadig;darrig
ostadig;instabil
ostadig;labil
ostadig;ranglig
ostadig;vacklande
ostadig;vinglig
ostadighet;instabilitet
ostbåge;ostkrok
ostekt;rå
osthyvel;ostjärn
ostjärn;osthyvel
ostkrok;ostbåge
ostlig;östlig
ostyrig;okuvlig
ostyrig;upprorisk
ostyrig;vild
ostörd;obesvärad
ostörd;stilla
ostört;ifred
osviklig;säker
osviklig;trofast
osympatisk;känslokall
osympatisk;otrevlig
osynlig;dold
osäker;diffus
osäker;instabil
osäker;inte säker
osäker;otrygg
osäker;oviss
osäker;tafatt
osäker;tvehågsen
osäker;tvekande
osäker;tveksam
osäker;tvivel
osäker;vacklande
osäker;velig
osäker;villrådig
osäkerhet;ambivalens
osäkerhet;tvehågsenhet
osäkerhet;tvekan
osäkerhet;tveksamhet
osäkerhet;vacklande
osäkerhet;vankelmod
osäkerhet;villrådighet
osämja;bråk
osämja;konflikt
osämja;kontrovers
osämja;missämja
osämja;oenighet
osämja;schism
osämja;split
osämja;tvedräkt
osämja;tvist
otalig;oräknelig
otaliga;många
otillfreds;missbelåten
otillfreds;missnöjd
otillfredsställande;bristande
otillfredsställande;bristfällig
otillfredsställande;otillräcklig
otillfredsställd;missbelåten
otillfredsställd;missnöjd
otillförlitlig;ovederhäftig
otillgänglig;oåtkomlig
otillgänglig;upptagen
otillräcklig;bristande
otillräcklig;bristfällig
otillräcklig;inadekvat
otillräcklig;otillfredsställande
otillräcklig;ringa
otillräcklig;undermålig
otillräcklighet;brist
otillåten;förbjuden
otillåten;olovlig
otjänst;björntjänst
otrevlig;ohyfsad
otrevlig;osympatisk
otrevlig;taskig
otrevlig;vresig
otrohet;synd
otrolig;fantastisk
otrolig;förbluffande
otrolig;häpnadsväckande
otrolig;makalös
otrolig;mirakulös
otrolig;oerhörd
otrolig;ofattbar
otrolig;osannolik
otroligt;fantastiskt
otroligt;ofattbar
otroligt;väldigt
otrygg;osäker
otränad;oövad
otränad;ringrostig
otröstlig;förkrossad
otukt;synd
otur;osis
otvetydig;absolut
otvetydig;definitiv
otvetydig;distinkt
otvetydig;entydig
otvetydig;klar
otvetydig;riktig
otvetydig;säker
otvetydig;tydlig
otvetydigt;entydigt
otvetydigt;tydligt
otvivelaktig;bestämd
otvivelaktig;obestridlig
otvivelaktig;säker
otvivelaktigt;absolut
otvivelaktigt;bestämt
otvivelaktigt;bevisligen
otvivelaktigt;förvisso
otvivelaktigt;säkerligen
otvivelaktigt;tveklöst
otvungen;fri
otvungen;fritt
otvungen;naturlig
otvättad;smutsig
otydlig;diffus
otydlig;dimmig
otydlig;dunkel
otydlig;grumlig
otydlig;grötig
otydlig;oklar
otydlig;oskarp
otydlig;sluddrig
otydlig;suddig
otydlig;svag
otydlig;vag
otydlighet;oklarhet
otydligt;luddigt
otyg;bus
otyglad;ohämmad
otyglad;okontrollerad
otyglad;tygellös
otyglad;vild
otyglade;lösa
otyglat;vilt
otymplig;ohanterlig
otäck;avskyvärd
otäck;fasansfull
otäck;förfärlig
otäck;förskräcklig
otäck;hemsk
otäck;kuslig
otäck;läskig
otäck;motbjudande
otäck;obehaglig
otäck;ruskig
otäck;ryslig
otäck;skrämmande
otäck;vidrig
otålig;ivrig
otålig;rastlös
otålighet;iver
otämd;vild
otämjd;vild
otät;gles
oumbärlig;nödvändig
oumbärlig;viktig
oundgänglig;nödvändig
oundviklig;ofrånkomlig
ouppfostrad;ohyfsad
oupphörlig;evig
oupphörlig;evinnerlig
oupphörlig;oavbruten
oupphörlig;ständig
oupphörligen;för jämnan
oupphörligen;hela tiden
oupphörligen;ideligen
oupphörligen;jämt
oupphörligen;konstant
oupphörligen;oupphörligt
oupphörligen;ständig
oupphörligen;ständigt
oupphörligt;ideligen
oupphörligt;oavbrutet
oupphörligt;oupphörligen
oupphörligt;ständigt
outbildad;oskolad
outhyrd;ledig
outhärdlig;olidlig
outhärdlig;vidrig
outnyttjad;oanvänd
outplånlig;evig
outplånlig;oförglömlig
outsinlig;ständig
outslagen blomma;blomknopp
outtröttlig;enträgen
outvecklad;primitiv
oval;ellips
oval;ellipsformad
ovan;oerfaren
ovan;orutinerad
ovan;ovanför
ovan;över
ovana;dålig vana
ovanför;ovan
ovanför;över
ovanlig;exceptionell
ovanlig;extraordinär
ovanlig;osedvanlig
ovanlig;speciell
ovanlig;sällsam
ovanlig;sällsyn
ovanlig;sällsynt
ovanlig;sällsynthet
ovanlig;sälsynt
ovanlig;säregen
ovanlig;udda
ovanlig;unik
ovanlighet;sällsynthet
ovanligt;sällsynt
ovannämnd;ovanstående
ovanstående;ovannämnd
ovarsam;oförsiktig
ovass;slö
ovederhäftig;otillförlitlig
ovedersäglig;oförneklig
overklig;drömlik
overklig;illusorisk
overklig;surrealistisk
overksam;sysslolös
overksam;vegetativ
ovetande;fåkunnig
ovetande;fåvittsko
ovetande;okunnig
ovetenskaplig;flummig
ovett;bannor
ovidkommande;irrelevant
oviktig;betydelselös
oviktig;oväsentlig
oviktigt;irrelevant
ovilja;motstånd
ovillig;motspänstig
ovillig;motsträvig
ovillig;obenägen
ovillig;svårövertalad
ovillkorlig;absolut
ovillkorligen;absolut
ovis;oklok
oviss;oklar
oviss;osäker
oviss;tveksam
oväder;ruskväder
oväder;åska
ovälkommen;oönskad
ovän;fiende
ovänlig;avog
ovänlig;butter
ovänlig;ohövlig
ovänligt;avogt
oväntad;oanad
oväntad;oförutsedd
oväntad;plötslig
oväntad;överraskande
oväntat;oförhappandes
oväntat;oförutsett
ovårdad;nedgången
ovårdad;oborstad
ovårdad;oordentlig
ovårdad;sjaskig
ovårdad;skabbig
oväsen;buller
oväsen;dån
oväsen;oljud
oväsen;skrammel
oväsen;skrän
oväsen;slamra
oväsentlig;bagatellartad
oväsentlig;banal
oväsentlig;betydelselös
oväsentlig;försumbar
oväsentlig;obetydlig
oväsentlig;oviktig
oxygen;syre
oxygen;syrgas
oäkta;falsk
oäkta;förfalskad
oäkta;konstlad
oäkting;bastard
oöm;hållbar
oöm;robust
oöm;tålig
oändlig;evig
oändlig;evinnerlig
oändlig;gränslös
oändlig;obegränsad
oändlig;omätlig
oändlig;ändlös
oändlighet;evighet
oönskad;ovälkommen
oärlig;falsk
oärlig;förljugen
oåterkallelig;irreversibel
oåtkomlig;otillgänglig
oövad;oerfaren
oövad;orutinerad
oövad;otränad
oöverskådlig;enorm
oövertänkt;tanklös
oövervinnelig;okuvlig
oövervägd;överilad
pacemaker;hjärtstimulator
pack;drägg
pack;slödder
packa;stuva
packad;aprak
packad;asfull
packad;berusad
packad;dragen
packad;full
packad;ihoptryckt
packad;tät
packe;bunt
packe;knyte
packhus;lager
packning;bagage
paff;förbluffad
paff;förstummad
paff;förvånad
paff;häpen
paff;mållös
paff;ställd
paff;överraskad
pagod;kyrka
paj;trasig
paja;förstöra
paja;sabba
pajad;förstörd
pajas;clown
pajas;fånig
pajas;narr
pajas;pellejöns
paket;förpackning
paket;kolli
paketera;slå in
pakt;avtal
pakt;förbund
pakt;fördrag
pakt;överenskommelse
palats;slott
palla;orka
palla;sno
palla;stjäla
palla;utstå
paltkoma;mätt
paltkoma;trött efter maten
pamp;höjdare
pampig;magnifik
pampig;mäktig
pampig;stor
pampig;storartad
pampig;ståtlig
pandemi;farsot
panela;brädfodra
panga;drämma
panga;krossa
panga;skjuta
panga;smälla
panikslagen;livrädd
panikslagen;skräckslagen
pank;urfattig
pank;utblottad
pankreas;bukspottkörtel
pannknack;huvudvärk
pannlugg;lugg
panorama;utsikt
pansartax;krokodil
pant;säkerhet
pantad;dum
pantad;knäpp
pantad;korkad
pantbrev;inteckning
pantsätta;belåna
pappa;fader
pappa;far
pappa;farsa
pappa;pappsen
papper;ark
papper;kartong
papper;pergament
pappersklämma;gem
papperskorg;soptunna
pappsen;pappa
par;tandem
par;två
para;betäcka
para;förena
para;kombinera
parad;uppvisning
paradigm;tankesystem
paradis;himmel
paradis;himmelrike
paradisisk;underbar
paradoxal;motsägelsefull
paragraf;klausul
paragraf;stycke
paralysera;förlama
paralysera;lamslå
paralyserad;förlamad
paralyserad;lamslagen
parameter;värdeenhet
parametrar;villkor
paranoid;misstänksam till överdrift
parant;vacker
parasit;snyltare
parasit;snyltgäst
parat;beredd
parera;avleda
parera;avstyra
parera;avvärja
parera;bejaka
parfymera;doftsätta
paritet;likhet
park;parkanläggning
parkanläggning;park
parkeringsvakt;lapplisa
parlament;riksdag
parning;betäckning
parning;samlag
parningsbenägen;löpa
paroll;devis
paroll;slagord
paroll;slogan
paroll;valspråk
part;andel
part;beståndsdel
part;hälft
part;intressent
part;sida
part;stycke
partaj;fest
partaj;kalas
parti;avsnitt
parti;game
parti;match
parti;omgång
parti;politisk sammanslutning
parti;spel
parti;stycke
partiell;delvis
partiellt;delvis
partikulär;enskild
partisk;jävig
partisk;subjektiv
partner;delägare
partner;kompanjon
partner;medspelare
partnerskap;samarbete
party;bjudning
party;fest
party;galej
party;kalas
party;skiva
party;tillställning
parvel;pojke
passa;bevaka
passa;duga
passa;justera
passa;lämpa
passa;matcha
passa;se efter
passa;sköta
passa;stämma
passa;ta hand om
passa;vaka
passa;vakta
passa;överensstämma
passa ihop med;stämma
passage;genomfart
passage;genomgång
passage;gång
passagerare;resande
passande;adekvat
passande;anständig
passande;duglig
passande;läglig
passande;lämpad
passande;lämplig
passande;lämpligt
passande;tillbörlig
passande;tillämplig
passande;vederbörlig
passande;ändamålsenlig
passar;matchar
passera;gå förbi
passion;glöd
passion;hetta
passion;hänförelse
passion;lidelse
passionerad;eldig
passionerad;het
passionerad;lidelsefull
passiv;inaktiv
passiv;oföretagsam
passning;tillsyn
passopp;betjänt
passopp;tjänare
pasta;makaroner
pasta;spagetti
pasta;spaghetti
pastisch;stilhärmning
pastisch;stilimitation
pastor;prelat
pastor;präst
patetisk;löjeväckande
patetisk;löjlig
patetisk;töntig
patetisk;ynklig
patient;vårdtagare
patolog;obducent
patologisk;sjuklig
patos;glöd
patrask;avskum
patrask;löst folk
patrask;slödder
patriarkat;mansvälde
patron;godsägare
patrull;trupp
pattar;boobs
pattar;bröst
pattar;flata
pattar;lökar
pattar;tuttar
patte;bröst
paus;andrum
paus;avbrott
paus;bensträckare
paus;break
paus;intermission
paus;mellanakt
paus;rast
paus;time-out
paus;uppehåll
paus;vilostund
pava;butelj
pava;flaska
paxa;reservera
pc;dator
pc-spel;datorspel
pedal;trampa
pedant;noggrann
pederast;pedofil
pediatriker;barnläkare
pedofil;pederast
pedofilporr;barnporr
peka på;indikera
pekdon;mus
pelare;stapel
pelare;stolpe
pelargång;arkad
pelarvalv;arkad
pellejöns;clown
pellejöns;fjant
pellejöns;pajas
pendellägenhet;arbetsbostad
pendla;svänga
penetration;föra in
penetrera;genomtränga
penetrera;gå igenom
penetrera;inkräkta
penetrera;tränga in i
penetrerande;genomträngande
penetrering;samlag
peng;mynt
peng;slant
pengapung;plånbok
pengar;deg
pengar;kapital
pengar;klöver
pengar;kosing
pengar;medel
pengar;mynt
pengar;pluring
pengar;slantar
pengar;stålar
penibel;genant
penibla;pinsamma
penna;skrivdon
penning;slant
penningförråd;kassa
penningplacering;investering
penningpung;börs
penningpung;plånbok
penningpung;portmonnä
penningstark;tät
penningunderstöd;subsidier
pension;äldrebidrag
pensionärsdans;russindisco
pensum;uppgift
peppa;heja
peppa;sporra
peppa;uppmuntra
peppad;klin
peppad;taggad
peppra;skjuta
perception;uppfattning
perfekt;felfri
perfekt;fullkomlig
perfekt;fullkomlighet
perfekt;fullständig
perfekt;fulländad
perfekt;fulländning
perfekt;ideal
perfekt;klockren
perfekt;ofelbar
perfekt;superb
perfekt;utan brist
perfekt;utmärkt
perfekt;utomordentlig
perforera;genomborra
perforera;stansa
pergament;papper
perifer;yttre
periferi;avsides
periferi;utkant
period;cykel
period;kalender år
periodisk;cyklisk
periodisk;regelbunden
periodisk;regelbundet
periodisk;återkommande
perkussion;slagverk
permanent;bestående
permanent;fast
permanent;stadigvarande
permanent;ständig
permanent;varaktig
permanent;varaktigt
permanenta;bestående
permission;ledighet
permission;tillåtelse
perplex;förbluffad
perplex;förstummad
perplex;förvånad
perplex;handfallen
perplex;häpen
perplex;ställd
perrong;plattform
perrong;tågplattform
persienn;jalusi
persiska;iranska
person;individ
person;människa
person av hankön;mansperson
personal;anställd
personal;arbetskraft
personal;stab
personer;folk
personer;människor
personlig;egen
personlig;individuell
personlig;privat
personlig lyx;flärd
personligen;själv
personlighet;karaktär
personligt;egen
personligt;privat
perspektiv;synsätt
perspektiv;synvinkel
pessimistisk;negativ
pest;farsot
pest;pina
pest;plåga
pest;plågoris
peta;pilla
peta;sticka
petig;kinkig
petig;noga
petig;noggrann
petig;petnoga
petit;liten
petitess;småsak
petnoga;grätten
petnoga;petig
petting;pulla
piccolo;pickolo
pickolo;piccolo
piga;hembiträde
pigeon;dove
pigg;alert
pigg;energisk
pigg;hurtig
pigg;kry
pigg;livfull
pigg;livlig
pigg;rask
pigg;sprallig
pigg;vaken
pigga;alerta
pigga;krya
pigmentering;färg
pigmentering;färgning
pik;spydighet
pilla;peta
pilla;tafsa
piller;tablett
pilot;flygare
pilsner;bira
pilsner;bärs
pilsner;öl
pimpinett;kokett
pimpla;dricka
pimpla;isfiska
pina;kval
pina;lidande
pina;pest
pina;plåga
pina;smärta
pina;tortera
pinal;föremål
pinal;grej
pinal;redskap
pinal;sak
pingis;bordtennis
pingis;pingpong
pingla;bjällra
pingla;brud
pingla;böna
pingla;tjej
pingpong;bordtennis
pingpong;pingis
pinka;kissa
pinka;pissa
pinka;slå en drill
pinka;slå en sjua
pinka;tömma slangen
pinka;urinera
pinne;kvist
pinne;käpp
pinsam;försmädlig
pinsam;genant
pinsam;generande
pinsam;prekär
pinsamma;penibla
pionjär;banbrytande
pionjär;banbrytare
pipa;gny
pipeline;ledning
pipeline;rörledning
pippa;gänga
pippa;göka
pippa;ha samlag
pippa;ha sex
pippa;idka samlag
pippa;jucka
pippa;samlag
pippa;älskog
pippi;fågel
pirat;sjöbuse
pirat;sjörövare
pirra;kärra
pisk;stryk
piska;driva
piska;hudflänga
piska;smiska
piska;snärta
piska;spö
piska;spöa
piska upp;uppvigla
pissa;kissa
pissa;pinka
pistol;handkanon
pistol;puffra
pistol;revolver
pitt;kuk
pjosker;mes
pjåkig;pjåkigt
pjåkigt;pjåkig
pjäs;föreställning
pjäs;konstföremål
pjäs;skådespel
pjäs;stycke
pjäs;teater
pjäs;teaterstycke
pjåsk;överbeskydd
pjåskande;daltande
placera;insätta
placera;liga
placera;lägga
placera;placering
placera;stationera
placera;ställa
placera;sätta
placering;placera
placering;plats
placering;position
placering;stationering
pladder;babbel
pladder;babbla
pladder;munväder
pladder;prat
pladder;snack
pladder;sorl
pladder;svammel
pladdra;babbla
pladdra;gagga
pladdra;prata
pladdra;snack
pladdra;snacka
plagg;dräkt
plagg;kläder
plagg;klädesplagg
plagg;klädnad
plagiat;efterapning
plagiat;efterbildning
plagiat;imitation
plagiat;kopia
plagiera;efterapa
plagiera;härma
plagiera;kopiera
plagiera;planka
plakat;affisch
plakat;berusad
plakat;full
plakat;poster
plakat;skitfull
plakat;skylt
plan;flat
plan;flygplan
plan;idé
plan;jämn
plan;jämna
plan;konstruktion
plan;nivå
plan;platt
plan;ritning
plan;schema
plan;slät
plan;teori
plan;våning
planera;förbereda
planera;koka ihop
planera;organisera
planera;planlägga
planerad;avsedd
planerad;ämnad
planerat dråp;mord
planering;förberedelse
planering;planläggning
plank;staket
planka;bräda
planka;plagiera
planka;smita in
planlägga;planera
planläggning;planering
plansch;affisch
plansch;poster
plant;platt
planta;stickling
planta;växt
plantera;fästa
plantera;sätta
plaska;plumsa
plaska;skvalpa
plaska;skvätta
plats;läge
plats;område
plats;placering
plats;position
plats;ställe
plats;säte
plats;trakt
plats;utrymme
platt;flat
platt;intetsägande
platt;plan
platt;plant
platt;volymlös
platta;grammofonskiva
platta;skiva
plattform;estrad
plattform;perrong
platthet;banalitet
plattityd;trivialitet
platts;område
platå;avsats
plikt;måste
plikt;skyldighet
plikt;åliggande
plikta;göra bot för
plikta;sota för
pliktpåkallande;förpliktande
plikttrogen;lojal
plikttrogen;nitisk
plikttrogen;trofast
plira;titta
plita;skriva
plocka;noppa
plocka;ta
ploj;skämt
plombera;försegla
plombering;försegling
plombering;sigill
plugg;kork
plugg;propp
plugg;skola
plugg;studier
plugga;inöva
plugga;studera
plugga;studerar
plugga;öva in
pluggar;studerar
plugget;skolan
plump;ohövlig
plumsa;plaska
plundra;bestjäla
plundra;brandskatta
plundra;röva
plundra;skövla
plundra;stjäla
plundring;rofferi
plundring;röveri
plundring;skövling
plundring;stjäla
pluring;pengar
pluringar;kosing
plus;fördel
plus;gagna
plus;positiv
plus;ytterligare
plussa;tillägga
plutt;fis
plutt;kaninbajs
plyte;ansikte
